Population	Treat	Gen	dose	Rep	L1_count	alive	dead	p_adults	stage
H3	High	5	lowdose	3	64	38	26	0.59	adult
H3	High	5	lowdose	4	51	44	7	0.86	adult
RL1	RL	5	lowdose	1	51	39	12	0.76	adult
RL1	RL	5	lowdose	2	52	32	20	0.62	adult
RL1	RL	5	lowdose	3	63	44	19	0.7	adult
RL1	RL	5	lowdose	4	75	44	31	0.59	adult
RL2	RL	5	lowdose	1	71	50	21	0.7	adult
RL2	RL	5	lowdose	2	55	40	15	0.73	adult
RL2	RL	5	lowdose	3	94	58	36	0.62	adult
RL2	RL	5	lowdose	4	112	78	34	0.7	adult
RL3	RL	5	lowdose	1	93	57	36	0.61	adult
RL3	RL	5	lowdose	2	93	58	35	0.62	adult
RL3	RL	5	lowdose	3	69	47	22	0.68	adult
RL3	RL	5	lowdose	4	49	26	23	0.53	adult
RH1	RH	5	lowdose	1	66	47	19	0.71	adult
RH1	RH	5	lowdose	2	57	42	15	0.74	adult
RH1	RH	5	lowdose	3	56	37	19	0.66	adult
RH1	RH	5	lowdose	4	50	32	18	0.64	adult
RH2	RH	5	lowdose	1	65	41	24	0.63	adult
RH2	RH	5	lowdose	2	51	36	15	0.71	adult
RH2	RH	5	lowdose	3	63	28	35	0.44	adult
RH2	RH	5	lowdose	4	60	42	18	0.7	adult
RH3	RH	5	lowdose	1	70	50	20	0.71	adult
RH3	RH	5	lowdose	2	78	58	20	0.74	adult
RH3	RH	5	lowdose	3	52	34	18	0.65	adult
RH3	RH	5	lowdose	4	57	33	24	0.58	adult
Z1	Zero	10	lowdose	1	59	34	25	0.58	adult
Z1	Zero	10	lowdose	2	85	53	32	0.62	adult
Z1	Zero	10	lowdose	3	142	78	64	0.55	adult
Z1	Zero	10	lowdose	4	62	39	23	0.63	adult
Z2	Zero	10	lowdose	1	65	46	19	0.71	adult
Z2	Zero	10	lowdose	2	57	38	19	0.67	adult
Z2	Zero	10	lowdose	3	61	42	19	0.69	adult
Z2	Zero	10	lowdose	4	49	29	20	0.59	adult
Z3	Zero	10	lowdose	1	51	32	19	0.63	adult
Z3	Zero	10	lowdose	2	57	37	20	0.65	adult
Z3	Zero	10	lowdose	3	94	54	40	0.57	adult
Z3	Zero	10	lowdose	4	53	35	18	0.66	adult
Z4	Zero	10	lowdose	1	127	68	59	0.54	adult
Z4	Zero	10	lowdose	2	73	37	36	0.51	adult
Z4	Zero	10	lowdose	3	68	39	29	0.57	adult
Z4	Zero	10	lowdose	4	54	30	24	0.56	adult
Z5	Zero	10	lowdose	1	105	65	40	0.62	adult
Z5	Zero	10	lowdose	2	53	39	14	0.74	adult
Z5	Zero	10	lowdose	3	60	31	29	0.52	adult
Z5	Zero	10	lowdose	4	74	34	40	0.46	adult
Z6	Zero	10	lowdose	1	79	50	29	0.63	adult
Z6	Zero	10	lowdose	2	76	45	31	0.59	adult
Z6	Zero	10	lowdose	3	60	41	19	0.68	adult
Z6	Zero	10	lowdose	4	74	50	24	0.68	adult
L1	Low	10	lowdose	1	53	39	14	0.74	adult
L1	Low	10	lowdose	2	57	39	18	0.68	adult
L1	Low	10	lowdose	3	73	52	21	0.71	adult
L1	Low	10	lowdose	4	59	35	24	0.59	adult
L2	Low	10	lowdose	1	54	37	17	0.69	adult
L2	Low	10	lowdose	2	49	28	21	0.57	adult
L2	Low	10	lowdose	3	63	37	26	0.59	adult
L2	Low	10	lowdose	4	50	33	17	0.66	adult
L3	Low	10	lowdose	1	68	37	31	0.54	adult
L3	Low	10	lowdose	2	54	33	21	0.61	adult
L3	Low	10	lowdose	3	68	49	19	0.72	adult
L3	Low	10	lowdose	4	60	45	15	0.75	adult
H1	High	10	lowdose	1	67	54	13	0.81	adult
H1	High	10	lowdose	2	53	44	9	0.83	adult
H1	High	10	lowdose	3	72	57	15	0.79	adult
H1	High	10	lowdose	4	82	66	16	0.8	adult
H2	High	10	lowdose	1	58	47	11	0.81	adult
H2	High	10	lowdose	2	55	43	12	0.78	adult
H2	High	10	lowdose	3	76	52	24	0.68	adult
H2	High	10	lowdose	4	66	42	24	0.64	adult
H3	High	10	lowdose	1	73	49	24	0.67	adult
H3	High	10	lowdose	2	52	39	13	0.75	adult
H3	High	10	lowdose	3	73	48	25	0.66	adult
H3	High	10	lowdose	4	83	64	19	0.77	adult
RL1	RL	10	lowdose	1	61	37	24	0.61	adult
RL1	RL	10	lowdose	2	48	33	15	0.69	adult
RL1	RL	10	lowdose	3	71	39	32	0.55	adult
RL1	RL	10	lowdose	4	60	33	27	0.55	adult
RL2	RL	10	lowdose	1	53	31	22	0.58	adult
RL2	RL	10	lowdose	2	53	33	20	0.62	adult
RL2	RL	10	lowdose	3	91	61	30	0.67	adult
RL2	RL	10	lowdose	4	52	32	20	0.62	adult
RL3	RL	10	lowdose	1	60	34	26	0.57	adult
RL3	RL	10	lowdose	2	52	38	14	0.73	adult
RL3	RL	10	lowdose	3	55	27	28	0.49	adult
RL3	RL	10	lowdose	4	61	30	31	0.49	adult
RH1	RH	10	lowdose	1	53	36	17	0.68	adult
RH1	RH	10	lowdose	2	51	27	24	0.53	adult
RH1	RH	10	lowdose	3	91	49	42	0.54	adult
RH1	RH	10	lowdose	4	50	26	24	0.52	adult
RH2	RH	10	lowdose	1	54	38	16	0.7	adult
RH2	RH	10	lowdose	2	57	35	22	0.61	adult
RH2	RH	10	lowdose	3	78	51	27	0.65	adult
RH2	RH	10	lowdose	4	51	34	17	0.67	adult
RH3	RH	10	lowdose	1	51	32	19	0.63	adult
RH3	RH	10	lowdose	2	52	37	15	0.71	adult
RH3	RH	10	lowdose	3	54	24	30	0.44	adult
RH3	RH	10	lowdose	4	54	30	24	0.56	adult
A	Control	0	zerodose	1	62	57	5	0.92	juv
A	Control	0	zerodose	2	50	50	0	1	juv
A	Control	0	zerodose	3	63	60	3	0.95	juv
A	Control	0	zerodose	4	55	51	4	0.93	juv
Z1	Zero	5	zerodose	1	56	52	4	0.93	juv
Z1	Zero	5	zerodose	2	54	49	5	0.91	juv
Z1	Zero	5	zerodose	3	53	50	3	0.94	juv
Z1	Zero	5	zerodose	4	51	47	4	0.92	juv
Z2	Zero	5	zerodose	1	50	48	2	0.96	juv
Z2	Zero	5	zerodose	2	55	49	6	0.89	juv
Z2	Zero	5	zerodose	3	49	49	0	1	juv
Z2	Zero	5	zerodose	4	60	55	5	0.92	juv
Z3	Zero	5	zerodose	1	50	49	1	0.98	juv
Z3	Zero	5	zerodose	2	58	56	2	0.97	juv
Z3	Zero	5	zerodose	3	80	73	7	0.91	juv
Z3	Zero	5	zerodose	4	52	47	5	0.9	juv
Z4	Zero	5	zerodose	1	54	45	9	0.83	juv
Z4	Zero	5	zerodose	2	93	82	11	0.88	juv
Z4	Zero	5	zerodose	3	58	55	3	0.95	juv
Z4	Zero	5	zerodose	4	54	50	4	0.93	juv
Z5	Zero	5	zerodose	1	67	64	3	0.96	juv
Z5	Zero	5	zerodose	2	54	51	3	0.94	juv
Z5	Zero	5	zerodose	3	66	63	3	0.95	juv
Z5	Zero	5	zerodose	4	51	49	2	0.96	juv
Z6	Zero	5	zerodose	1	50	48	2	0.96	juv
Z6	Zero	5	zerodose	2	65	58	7	0.89	juv
Z6	Zero	5	zerodose	3	57	54	3	0.95	juv
Z6	Zero	5	zerodose	4	56	55	1	0.98	juv
L1	Low	5	zerodose	1	54	50	4	0.93	juv
L1	Low	5	zerodose	2	54	45	9	0.83	juv
L1	Low	5	zerodose	3	68	64	4	0.94	juv
L1	Low	5	zerodose	4	75	69	6	0.92	juv
L2	Low	5	zerodose	1	54	50	4	0.93	juv
L2	Low	5	zerodose	2	52	48	4	0.92	juv
L2	Low	5	zerodose	3	80	75	5	0.94	juv
L2	Low	5	zerodose	4	49	44	5	0.9	juv
L3	Low	5	zerodose	1	78	73	5	0.94	juv
L3	Low	5	zerodose	2	53	50	3	0.94	juv
L3	Low	5	zerodose	3	75	66	9	0.88	juv
L3	Low	5	zerodose	4	54	50	4	0.93	juv
H1	High	5	zerodose	1	50	48	2	0.96	juv
H1	High	5	zerodose	2	71	66	5	0.93	juv
H1	High	5	zerodose	3	66	59	7	0.89	juv
H1	High	5	zerodose	4	55	45	10	0.82	juv
H2	High	5	zerodose	1	58	53	5	0.91	juv
H2	High	5	zerodose	2	63	61	2	0.97	juv
H2	High	5	zerodose	3	62	58	4	0.94	juv
H2	High	5	zerodose	4	59	56	3	0.95	juv
H3	High	5	zerodose	1	55	55	0	1	juv
H3	High	5	zerodose	2	59	55	4	0.93	juv
H3	High	5	zerodose	3	65	63	2	0.97	juv
H3	High	5	zerodose	4	53	52	1	0.98	juv
RL1	RL	5	zerodose	1	54	52	2	0.96	juv
RL1	RL	5	zerodose	2	58	53	5	0.91	juv
RL1	RL	5	zerodose	3	67	61	6	0.91	juv
RL1	RL	5	zerodose	4	84	76	8	0.9	juv
RL2	RL	5	zerodose	1	60	57	3	0.95	juv
RL2	RL	5	zerodose	2	58	55	3	0.95	juv
RL2	RL	5	zerodose	3	69	68	1	0.99	juv
RL2	RL	5	zerodose	4	66	59	7	0.89	juv
RL3	RL	5	zerodose	1	52	52	0	1	juv
RL3	RL	5	zerodose	2	53	50	3	0.94	juv
RL3	RL	5	zerodose	3	60	57	3	0.95	juv
RL3	RL	5	zerodose	4	71	68	3	0.96	juv
RH1	RH	5	zerodose	1	60	58	2	0.97	juv
RH1	RH	5	zerodose	2	149	131	18	0.88	juv
RH1	RH	5	zerodose	3	60	55	5	0.92	juv
RH1	RH	5	zerodose	4	52	46	6	0.88	juv
RH2	RH	5	zerodose	1	50	47	3	0.94	juv
RH2	RH	5	zerodose	2	56	54	2	0.96	juv
RH2	RH	5	zerodose	3	64	58	6	0.91	juv
RH2	RH	5	zerodose	4	55	52	3	0.95	juv
RH3	RH	5	zerodose	1	55	55	0	1	juv
RH3	RH	5	zerodose	2	52	43	9	0.83	juv
RH3	RH	5	zerodose	3	53	47	6	0.89	juv
RH3	RH	5	zerodose	4	49	49	0	1	juv
Z1	Zero	10	zerodose	1	56	52	4	0.93	juv
Z1	Zero	10	zerodose	2	51	50	1	0.98	juv
Z1	Zero	10	zerodose	3	73	69	4	0.95	juv
Z1	Zero	10	zerodose	4	54	49	5	0.91	juv
Z2	Zero	10	zerodose	1	54	53	1	0.98	juv
Z2	Zero	10	zerodose	2	81	70	11	0.86	juv
Z2	Zero	10	zerodose	3	52	45	7	0.87	juv
Z2	Zero	10	zerodose	4	54	53	1	0.98	juv
Z3	Zero	10	zerodose	1	54	53	1	0.98	juv
Z3	Zero	10	zerodose	2	55	54	1	0.98	juv
Z3	Zero	10	zerodose	3	55	52	3	0.95	juv
Z3	Zero	10	zerodose	4	89	86	3	0.97	juv
Z4	Zero	10	zerodose	1	118	109	9	0.92	juv
Z4	Zero	10	zerodose	2	68	61	7	0.9	juv
Z4	Zero	10	zerodose	3	51	47	4	0.92	juv
Z4	Zero	10	zerodose	4	58	57	1	0.98	juv
Z5	Zero	10	zerodose	1	69	64	5	0.93	juv
Z5	Zero	10	zerodose	2	91	86	5	0.95	juv
Z5	Zero	10	zerodose	3	62	58	4	0.94	juv
Z5	Zero	10	zerodose	4	72	70	2	0.97	juv
Z6	Zero	10	zerodose	1	55	52	3	0.95	juv
Z6	Zero	10	zerodose	2	77	68	9	0.88	juv
Z6	Zero	10	zerodose	3	66	63	3	0.95	juv
Z6	Zero	10	zerodose	4	62	59	3	0.95	juv
L1	Low	10	zerodose	1	56	50	6	0.89	juv
L1	Low	10	zerodose	2	62	62	0	1	juv
L1	Low	10	zerodose	3	63	58	5	0.92	juv
L1	Low	10	zerodose	4	75	65	10	0.87	juv
L2	Low	10	zerodose	1	59	55	4	0.93	juv
L2	Low	10	zerodose	2	50	44	6	0.88	juv
L2	Low	10	zerodose	3	56	49	7	0.88	juv
L2	Low	10	zerodose	4	64	53	11	0.83	juv
L3	Low	10	zerodose	1	52	49	3	0.94	juv
L3	Low	10	zerodose	2	51	47	4	0.92	juv
L3	Low	10	zerodose	3	61	57	4	0.93	juv
L3	Low	10	zerodose	4	82	75	7	0.91	juv
H1	High	10	zerodose	1	57	54	3	0.95	juv
H1	High	10	zerodose	2	93	90	3	0.97	juv
H1	High	10	zerodose	3	68	62	6	0.91	juv
H1	High	10	zerodose	4	79	75	4	0.95	juv
H2	High	10	zerodose	1	66	59	7	0.89	juv
H2	High	10	zerodose	2	55	51	4	0.93	juv
H2	High	10	zerodose	3	67	61	6	0.91	juv
H2	High	10	zerodose	4	63	60	3	0.95	juv
H3	High	10	zerodose	1	37	35	2	0.95	juv
H3	High	10	zerodose	2	48	47	1	0.98	juv
H3	High	10	zerodose	3	60	59	1	0.98	juv
H3	High	10	zerodose	4	58	54	4	0.93	juv
RL1	RL	10	zerodose	1	52	52	0	1	juv
RL1	RL	10	zerodose	2	51	46	5	0.9	juv
RL1	RL	10	zerodose	3	67	65	2	0.97	juv
RL1	RL	10	zerodose	4	76	69	7	0.91	juv
RL2	RL	10	zerodose	1	53	48	5	0.91	juv
RL2	RL	10	zerodose	2	46	42	4	0.91	juv
RL2	RL	10	zerodose	3	72	67	5	0.93	juv
RL2	RL	10	zerodose	4	55	51	4	0.93	juv
RL3	RL	10	zerodose	1	52	50	2	0.96	juv
RL3	RL	10	zerodose	2	51	47	4	0.92	juv
RL3	RL	10	zerodose	3	60	54	6	0.9	juv
RL3	RL	10	zerodose	4	58	50	8	0.86	juv
RH1	RH	10	zerodose	1	50	42	8	0.84	juv
RH1	RH	10	zerodose	2	60	57	3	0.95	juv
RH1	RH	10	zerodose	3	60	53	7	0.88	juv
RH1	RH	10	zerodose	4	60	47	13	0.78	juv
RH2	RH	10	zerodose	1	69	66	3	0.96	juv
RH2	RH	10	zerodose	2	48	44	4	0.92	juv
RH2	RH	10	zerodose	3	69	65	4	0.94	juv
RH2	RH	10	zerodose	4	57	49	8	0.86	juv
RH3	RH	10	zerodose	1	55	49	6	0.89	juv
RH3	RH	10	zerodose	2	50	44	6	0.88	juv
RH3	RH	10	zerodose	3	66	64	2	0.97	juv
RH3	RH	10	zerodose	4	72	67	5	0.93	juv
A	Control	0	zerodose	1	62	53	9	0.85	adult
A	Control	0	zerodose	2	50	40	10	0.8	adult
A	Control	0	zerodose	3	63	53	10	0.84	adult
A	Control	0	zerodose	4	55	51	4	0.93	adult
Z1	Zero	5	zerodose	1	56	51	5	0.91	adult
Z1	Zero	5	zerodose	2	54	49	5	0.91	adult
Z1	Zero	5	zerodose	3	53	44	9	0.83	adult
Z1	Zero	5	zerodose	4	51	45	6	0.88	adult
Z2	Zero	5	zerodose	1	50	40	10	0.8	adult
Z2	Zero	5	zerodose	2	55	49	6	0.89	adult
Z2	Zero	5	zerodose	3	49	45	4	0.92	adult
Z2	Zero	5	zerodose	4	60	52	8	0.87	adult
Z3	Zero	5	zerodose	1	50	47	3	0.94	adult
Z3	Zero	5	zerodose	2	58	55	3	0.95	adult
Z3	Zero	5	zerodose	3	80	68	12	0.85	adult
Z3	Zero	5	zerodose	4	52	46	6	0.88	adult
Z4	Zero	5	zerodose	1	54	43	11	0.8	adult
Z4	Zero	5	zerodose	2	93	80	13	0.86	adult
Z4	Zero	5	zerodose	3	58	52	6	0.9	adult
Z4	Zero	5	zerodose	4	54	46	8	0.85	adult
Z5	Zero	5	zerodose	1	67	55	12	0.82	adult
Z5	Zero	5	zerodose	2	54	49	5	0.91	adult
Z5	Zero	5	zerodose	3	66	54	12	0.82	adult
Z5	Zero	5	zerodose	4	51	46	5	0.9	adult
Z6	Zero	5	zerodose	1	50	46	4	0.92	adult
Z6	Zero	5	zerodose	2	65	58	7	0.89	adult
Z6	Zero	5	zerodose	3	57	51	6	0.89	adult
Z6	Zero	5	zerodose	4	56	41	15	0.73	adult
L1	Low	5	zerodose	1	54	49	5	0.91	adult
L1	Low	5	zerodose	2	54	44	10	0.81	adult
L1	Low	5	zerodose	3	68	60	8	0.88	adult
L1	Low	5	zerodose	4	75	69	6	0.92	adult
L2	Low	5	zerodose	1	54	46	8	0.85	adult
L2	Low	5	zerodose	2	52	45	7	0.87	adult
L2	Low	5	zerodose	3	80	73	7	0.91	adult
L2	Low	5	zerodose	4	49	44	5	0.9	adult
L3	Low	5	zerodose	1	78	71	7	0.91	adult
L3	Low	5	zerodose	2	53	50	3	0.94	adult
L3	Low	5	zerodose	3	75	58	17	0.77	adult
L3	Low	5	zerodose	4	54	45	9	0.83	adult
H1	High	5	zerodose	1	50	48	2	0.96	adult
H1	High	5	zerodose	2	71	66	5	0.93	adult
H1	High	5	zerodose	3	66	53	13	0.8	adult
H1	High	5	zerodose	4	55	45	10	0.82	adult
H2	High	5	zerodose	1	58	50	8	0.86	adult
H2	High	5	zerodose	2	63	55	8	0.87	adult
H2	High	5	zerodose	3	62	50	12	0.81	adult
H2	High	5	zerodose	4	59	54	5	0.92	adult
H3	High	5	zerodose	1	55	50	5	0.91	adult
H3	High	5	zerodose	2	59	53	6	0.9	adult
H3	High	5	zerodose	3	65	52	13	0.8	adult
H3	High	5	zerodose	4	53	49	4	0.92	adult
RL1	RL	5	zerodose	1	54	47	7	0.87	adult
RL1	RL	5	zerodose	2	58	51	7	0.88	adult
RL1	RL	5	zerodose	3	67	59	8	0.88	adult
RL1	RL	5	zerodose	4	84	70	14	0.83	adult
RL2	RL	5	zerodose	1	60	53	7	0.88	adult
RL2	RL	5	zerodose	2	58	50	8	0.86	adult
RL2	RL	5	zerodose	3	69	60	9	0.87	adult
RL2	RL	5	zerodose	4	66	53	13	0.8	adult
RL3	RL	5	zerodose	1	52	41	11	0.79	adult
RL3	RL	5	zerodose	2	53	50	3	0.94	adult
RL3	RL	5	zerodose	3	60	52	8	0.87	adult
RL3	RL	5	zerodose	4	71	66	5	0.93	adult
RH1	RH	5	zerodose	1	60	57	3	0.95	adult
RH1	RH	5	zerodose	2	149	119	30	0.8	adult
RH1	RH	5	zerodose	3	60	47	13	0.78	adult
RH1	RH	5	zerodose	4	52	40	12	0.77	adult
RH2	RH	5	zerodose	1	50	39	11	0.78	adult
RH2	RH	5	zerodose	2	56	52	4	0.93	adult
RH2	RH	5	zerodose	3	64	56	8	0.88	adult
RH2	RH	5	zerodose	4	55	49	6	0.89	adult
RH3	RH	5	zerodose	1	55	54	1	0.98	adult
RH3	RH	5	zerodose	2	52	35	17	0.67	adult
RH3	RH	5	zerodose	3	53	47	6	0.89	adult
RH3	RH	5	zerodose	4	49	48	1	0.98	adult
Z1	Zero	10	zerodose	1	56	49	7	0.88	adult
Z1	Zero	10	zerodose	2	51	50	1	0.98	adult
Z1	Zero	10	zerodose	3	73	63	10	0.86	adult
Z1	Zero	10	zerodose	4	54	46	8	0.85	adult
Z2	Zero	10	zerodose	1	54	52	2	0.96	adult
Z2	Zero	10	zerodose	2	81	70	11	0.86	adult
Z2	Zero	10	zerodose	3	52	42	10	0.81	adult
Z2	Zero	10	zerodose	4	54	47	7	0.87	adult
Z3	Zero	10	zerodose	1	54	44	10	0.81	adult
Z3	Zero	10	zerodose	2	55	54	1	0.98	adult
Z3	Zero	10	zerodose	3	55	46	9	0.84	adult
Z3	Zero	10	zerodose	4	89	82	7	0.92	adult
Z4	Zero	10	zerodose	1	118	102	16	0.86	adult
Z4	Zero	10	zerodose	2	68	61	7	0.9	adult
Z4	Zero	10	zerodose	3	51	46	5	0.9	adult
Z4	Zero	10	zerodose	4	58	54	4	0.93	adult
Z5	Zero	10	zerodose	1	69	63	6	0.91	adult
Z5	Zero	10	zerodose	2	91	83	8	0.91	adult
Z5	Zero	10	zerodose	3	62	53	9	0.85	adult
Z5	Zero	10	zerodose	4	72	66	6	0.92	adult
Z6	Zero	10	zerodose	1	55	51	4	0.93	adult
Z6	Zero	10	zerodose	2	77	68	9	0.88	adult
Z6	Zero	10	zerodose	3	66	63	3	0.95	adult
Z6	Zero	10	zerodose	4	62	52	10	0.84	adult
L1	Low	10	zerodose	1	56	50	6	0.89	adult
L1	Low	10	zerodose	2	62	56	6	0.9	adult
L1	Low	10	zerodose	3	63	49	14	0.78	adult
L1	Low	10	zerodose	4	75	59	16	0.79	adult
L2	Low	10	zerodose	1	59	50	9	0.85	adult
L2	Low	10	zerodose	2	50	42	8	0.84	adult
L2	Low	10	zerodose	3	56	44	12	0.79	adult
L2	Low	10	zerodose	4	64	48	16	0.75	adult
L3	Low	10	zerodose	1	52	41	11	0.79	adult
L3	Low	10	zerodose	2	51	44	7	0.86	adult
L3	Low	10	zerodose	3	61	57	4	0.93	adult
L3	Low	10	zerodose	4	82	69	13	0.84	adult
H1	High	10	zerodose	1	57	47	10	0.82	adult
H1	High	10	zerodose	2	93	83	10	0.89	adult
H1	High	10	zerodose	3	68	61	7	0.9	adult
H1	High	10	zerodose	4	79	69	10	0.87	adult
H2	High	10	zerodose	1	66	59	7	0.89	adult
H2	High	10	zerodose	2	55	46	9	0.84	adult
H2	High	10	zerodose	3	67	55	12	0.82	adult
H2	High	10	zerodose	4	63	60	3	0.95	adult
H3	High	10	zerodose	1	37	35	2	0.95	adult
H3	High	10	zerodose	2	48	42	6	0.88	adult
H3	High	10	zerodose	3	60	52	8	0.87	adult
H3	High	10	zerodose	4	58	48	10	0.83	adult
RL1	RL	10	zerodose	1	52	50	2	0.96	adult
RL1	RL	10	zerodose	2	51	43	8	0.84	adult
RL1	RL	10	zerodose	3	67	61	6	0.91	adult
RL1	RL	10	zerodose	4	76	65	11	0.86	adult
RL2	RL	10	zerodose	1	53	46	7	0.87	adult
RL2	RL	10	zerodose	2	46	37	9	0.8	adult
RL2	RL	10	zerodose	3	72	59	13	0.82	adult
RL2	RL	10	zerodose	4	55	49	6	0.89	adult
RL3	RL	10	zerodose	1	52	50	2	0.96	adult
RL3	RL	10	zerodose	2	51	42	9	0.82	adult
RL3	RL	10	zerodose	3	60	51	9	0.85	adult
RL3	RL	10	zerodose	4	58	50	8	0.86	adult
RH1	RH	10	zerodose	1	50	40	10	0.8	adult
RH1	RH	10	zerodose	2	60	57	3	0.95	adult
RH1	RH	10	zerodose	3	60	50	10	0.83	adult
RH1	RH	10	zerodose	4	60	46	14	0.77	adult
RH2	RH	10	zerodose	1	69	62	7	0.9	adult
RH2	RH	10	zerodose	2	48	42	6	0.88	adult
RH2	RH	10	zerodose	3	69	63	6	0.91	adult
RH2	RH	10	zerodose	4	57	40	17	0.7	adult
RH3	RH	10	zerodose	1	55	49	6	0.89	adult
RH3	RH	10	zerodose	2	50	41	9	0.82	adult
RH3	RH	10	zerodose	3	66	59	7	0.89	adult
RH3	RH	10	zerodose	4	72	66	6	0.92	adult
